username,like,content,ctime,topic
你可真好阿,0,只要不相信天上掉馅饼，就不会受骗。,2021-11-30 21:24:27,1
关于她挺遗憾的,0,我邻居就有[doge],2021-11-30 21:14:19,1
机智的张狗熊,0,本都回不了设备寿命就到了,2021-11-30 17:22:36,0
西瓜太刀,0,又是银行,2021-11-30 16:08:37,0
世言_,0,我是学新能源的，我学院的教授是咱们国内研究光伏前沿的教授，早几年他就自己把家里弄光伏发电了，其他的老师也都找他帮忙一起改了,2021-11-30 14:12:44,0
津门大刀王,0,我家放顶上的光伏板一个月入账2000多，怕你不知道给你说一下，,2021-11-29 23:34:12,1
助理喵喵呢,0,这要是在。。。。。。。。。。。,2021-11-29 22:28:01,1
世袭非酋,0,整个世界都是诈骗啊，你不懂的领域都在利用你在这方面的无知挣你的钱。你不懂法律，有事了律师挣你的钱。你不会造汽车，车企卖车给你赚钱……。不看合同或者看不懂合同就敢直接签字，法律想帮你也没有依据。,2021-11-29 18:55:16,2
77908454129_bili,0,牛逼致富经,2021-11-29 12:13:33,2
异动丶的心,0,我们这就有说是租农户屋顶，什么不用管只收租金，结果合同是农户租光伏设备，合同中都是保障设备方的利益，比如发电收益不够租金时其他方式代替，设备损坏和维修要自理还要与设备费协商，农户承担很多风险但实际发电收益却不是共享的,2021-11-29 04:23:00,0
薄荷大团子,0,直接把合同拿出来解读啊。,2021-11-29 00:04:39,2
梅有壁,0,不算商业咋骗吗？,2021-11-28 20:34:23,1
等我先吃个烤肠,0,光伏怎么怎么。骗子怎么怎么了。但问题就出在这了呀。就一个骗子公司能把这玩意接入国家电网而且国家电网还按时给钱就很离谱了好嘛。,2021-11-28 20:18:55,0
卑微小昝,0,什么营销号？,2021-11-28 18:17:32,2
渡人者难渡己,0,有点疑问不知道有没有专业人士来解答下，光伏发电的相关设备损坏或定期更换是厂家负责吗？发的电是给公司去卖还是国家直接管理？,2021-11-28 14:15:35,1
小姐姐差不多得了鸭,0,有些销售人员真的缺德，当然也是有好的销售的啊。,2021-11-28 12:59:41,0
柒柒想吃咖喱饭,0,已经被骗了，家里本来就负债十万，又被骗了十万，等我知道家里又多了十万贷款的时候，已经是东窗事发后我妈才告诉我的，唯一剩下套房也算是被骗走了，骗子sqj，大家记得小心。,2021-11-28 02:21:57,1
小德22,0,李阿姨不识字，那她签的毛合同啊，公证人是谁，让他赔啊。,2021-11-28 00:06:46,2
胤寰珝,0,光伏行业乌烟瘴气的，我家就是做光伏的，做的屋顶租赁模式，以前都是一群畜生弄的贷款，现在弄成了谈光伏色变[doge],2021-11-27 22:59:16,0
太微恒,0,证据！证据！证据！哪家公司？合同截图？什么都不敢放，就别怪被举报！就会在那里放空炮搏眼球！,2021-11-27 22:41:35,2
藤原愛支,0,这个评论区啊，牛鬼蛇神。,2021-11-27 21:43:34,2
藤原愛支,0,这个评论区啊，牛鬼蛇神。,2021-11-27 21:43:34,2
小诺-sakura,0,法院不可能判赔的，大家散了吧,2021-11-27 19:48:20,0
英魂之刃97421号玩家,0,搞到光伏股票大跌，[大哭][大哭][大哭][大哭][大哭][大哭],2021-11-27 18:58:21,1
不知火灬半袖,0,这就是那句中国人不骗中国人！？？？[doge]点我顶上去！,2021-11-27 18:33:23,1
薛定谔的wallet,0,石人一只眼,2021-11-27 15:17:55,1
仕商艺工农,0,"前段时间做了光伏类似的mg动画,那是个上市公司，视频里的问题都有承诺,个人看了没问题，没有可能真的存在好的光伏项目,只是被一些小企业利用诈骗",2021-11-27 12:56:36,2
见过就行了,0,新能源？,2021-11-27 04:55:15,0
到老-,0,这种合同诈骗需要法院和银行的支持才能存在把。,2021-11-26 23:40:00,2
你一定在擦我头像,0,不需要去银行就能签这种合同？那我复制一百份合同，每份合同贷款1万亿,2021-11-26 23:13:10,2
台南吊牌坊,0,这事是存在的，但是时间线应该在往前推五六年左右，只不过推广过程中出现了诈骗的人,2021-11-26 22:18:16,0
伢番薯,0,那被骗的人，该怎么办呢？,2021-11-26 21:09:42,1
杨小谷,0,莫名其妙的贷款，也能给贷出去?这种事发生多少次了?,2021-11-26 20:52:09,0
换了干什么你告诉我,0,躺着能赚钱的路子还能给外人[doge],2021-11-26 18:27:57,0
火歌影曲,0,这是借光伏名义的诈骗啊，但这个视频观点片面了，踩一个先,2021-11-26 16:39:49,2
dnndzkxjhx,0,这件事只能说光伏行业有一些公司是骗子，不能说光伏行业都是骗子，任何一个行业都会有走偏门的公司，按up主视频的意思只要这个行业有骗人的，那这整个行业都是骗人的了吗？典型的春秋笔法，但是不否认光伏行业里真的有视频里那样骗人的公司，所以不要听风就是雨，但是合同一定要仔细看好，不要好事变坏事,2021-11-26 15:42:36,2
雪漫城老铁匠,0,一般评论区才是正文,2021-11-26 15:42:25,0
泡面好好次,0,哈哈哈，前些日子回农村正好赶上有安装的来我们村，后来村支书用村里大喇叭喊，都别安，骗人的[呲牙],2021-11-26 15:29:07,1
姬無莉,0,这就是我不喜欢销售的原因，因为有良心就赚不到钱[小电视_差评],2021-11-26 15:12:29,0
任督二埋,0,新能源还没怎么样，就开始诈骗了,2021-11-26 14:48:50,1
做人不能太美国,0,[doge]法院能承认这种骗人合同才是骗子继续行骗的动力,2021-11-26 13:10:55,2
邪恶莫迪,0,整个视频图文不搭嘎呀,2021-11-26 12:32:27,2
给世界的祝福尘不染,0,真正的弱势群体没有机会去说出，我是弱势群体的,2021-11-26 11:55:49,2
嚼了口香糖的恶魔,0,建议少点无用的表情,2021-11-26 11:22:22,2
竹衔之龙,0,10年前，我也被骗过。培训学校号称免费学习，毕业后还学费。结果是签了银行贷款每月要还。而且就算中途退学，也不会退一分钱。,2021-11-26 09:34:02,1
zeimao77,0,人性本就这样 骂也没有用 规则所致 法律完善需要无数这样的人付出代价 而这个完善无穷无尽 没准到时候社会结构已经变了 非常喜欢豆豆在遥远救世主中说 如果不是黑白颠倒 那还叫什么众生？,2021-11-26 08:25:18,2
山微北,0,银行没有责任？离谱,2021-11-25 22:42:45,0
多维星,0,我接触过光伏这东西是真的。。但还是挺麻烦的你要自己清洗设备，你如果把自己算人工费其实赚的不多,2021-11-25 16:50:18,0
中二少女あなた,0,我老公他们公司就是做光伏的，但是真的。今年还真的去海南做了好几个地方。,2021-11-25 14:48:40,1
爷的趣味生活,0,吃人，光明正大的吃人,2021-11-25 13:54:28,2
许_叶子,0,啊这，后怕，我家今年年初就遇到了。幸好我爸大事都会和我说，最后商量决定不整[辣眼睛],2021-11-25 11:41:17,1
木头盼盼,0,我准备安装，前提是不签任何合同。,2021-11-25 10:49:09,0
沃兹基夏汴德,0,那是骗子！应该受到法律制裁！,2021-11-25 10:05:30,2
哮月夜太狼,0,@公安部新闻宣传局,2021-11-25 09:05:35,0
这个名字六个碧,0,今天回老家我家房顶也有这个？好吓人呀,2021-11-25 00:11:10,1
小山中人,0,一先是各种卡跑路，二用房养老坑了多小老人，三P2P的跑路，在银行存款买到保险……现在的光伏法院不判合同是诈骗！！！,2021-11-28 21:04:37,2
喜欢熬夜的阿峰,0,这年头不被骗真难，,2021-11-28 20:18:48,2
战斗力太渣,0,几年前光伏行业被国外反侵销，光伏产能过剩然后国家补贴光伏，这种东西都是国家默许的，明摆着诈骗但是你去告也告不赢,2021-11-28 15:39:59,2
卓悦Max,0,咋骗公司跑路了，参与咋骗的银行为什么不跑？,2021-11-28 15:34:59,2
_Pioneer__,0,@新华社,2021-11-28 09:44:15,2
笑颜骑猪闯峡谷,0,真踏马坑啊，就这几块太阳能板7万？,2021-11-27 23:58:32,0
望天狮子,0,跟光伏没关系，跟骗子有关系,2021-11-27 21:46:57,2
布兰克蜀黍,0,移动公司也搞过这种操作,2021-11-27 10:51:38,0
雨中砚,0,这个视频的真实性存疑，没有一个详细数据和案例作为支撑，全篇编故事。建议网站先审查清楚了，再给up主背书。,2021-11-27 10:05:11,2
人工智障深度瞎学之路,0,要么视频下架，要不视频大火，坐等事实真相[吃瓜],2021-11-26 21:48:26,2
掰瓣橘子吃,0,我上个缓存的另一个up揭露光伏黑心公司的视频，没了[微笑],2021-11-26 17:42:26,2
拉翔翔丶丶,0,咋跟保险70岁以后收益一个样子[doge]我爹被人忽悠着买了十来万，,2021-11-26 16:41:02,1
国宝二班,0,光伏是好的，坏的是实施光伏的人。,2021-11-26 12:37:12,1
苏北沐春风,0,五位数你也信？,2021-11-26 11:28:19,0
接孙子专用车,0,看到人性可耻的下限，我突然觉得废除凌迟处死有点可惜了！！,2021-11-26 11:03:37,1
黑暗骑士入阵曲,0,在哪里点举报？,2021-11-26 09:35:18,2
逛街的野猪,0,中国人不骗中国人[doge],2021-11-26 09:16:48,1
年糕解放者,0,这世界坏人太多，坚信好事不会找上门的。,2021-11-26 09:10:12,2
古风和,0,推销员就是这样卖出去就行了。,2021-11-26 08:19:10,1
空星闪闪,0,诈骗，合同无效，把公司上下都抓起来，希望如此。,2021-11-26 02:07:34,2
诸葛云翼,0,你都知道合同细节了，不知道这些骗局是哪家公司？从头看到尾，你啥证据都没有拿出来，然后就来忽悠人？不点名骗子公司，点名上市公司？你这啥情况？,2021-11-25 20:40:43,2
lee1209,0,这个合同在民法典的范畴应该是无效的吧,2021-11-25 18:42:25,2
C型自爆天然受Q,0,这就叫霸王条款欺诈条款了，直接宣布无效,2021-11-25 18:23:14,2
-a-men-,0,5万设备费用够一般家庭10-20年电费了,2021-11-25 18:01:35,0
伦敦啤酒水灾事件,0,这明显在合同当中有问题，法律明确规定不可抗力是不用承担责任的。第2点就是说，这合同明显显示公平啊。所以说到最后打官司肯定赢啊。第1个违反不可抗力不承担责任的一个法律的硬性指标。第2个就是。显失公平。这个合同是无效的。,2021-11-25 17:14:26,2
B站_末等生,0,这个2，3年前在我老家也有，还好。我奶奶没钱不懂这些，没碰，都这么多年了，还活跃。证明不想管啊。,2021-11-25 15:40:08,1
等等1235日,0,前几年我们这里很多人来推销过 我家都来过 我直接拒绝了,2021-11-25 15:39:47,1
温凉总自知,0,有这么个事，但你这艺术加工也稍微合理点好吧？2：49，这李阿姨不识字的话，这合同是不具有法律效益的。,2021-11-25 15:21:37,2
太一鲜,0,还不如奔驰呢！哎,2021-11-25 15:06:19,2
夏木就是我,0,得看合同啊，看对了就没事，没看对就废了,2021-11-25 13:09:14,1
v灬泽n,0,有网络诈骗，大家都别上网好了呀，有电话诈骗，别打电话手机都扔了呗[吃瓜]枪支能杀人国家别造枪别发展武器了[doge],2021-11-25 12:47:19,0
西瓜是天使,0,银行跟农民贷款 凭什么跟你贷款？凭你无房无车无工作无社保无公积金无保单？,2021-11-25 12:13:40,2
一梦万寻,0,总结:p2p复刻！,2021-11-25 11:18:43,0
相原步,0,白来的永远不要,2021-11-25 11:16:56,0
下线睡觉0,0,不是看评论，差点就特么信了up主了,2021-11-25 09:10:12,0
戏游人生哦,0,银行那么多存款用来干嘛？当然是高价出贷给别人 没人贷款咋办创造贷款人[滑稽],2021-11-25 01:55:27,2
莱芜张三行吗,0,"我家就有差不多的东西啊，但是，我们是花钱的，花了多钱来的，好像是三万吧，一天好的时候能赚几十块钱吧。我爸妈小六十了，我没看过，他俩也都识字。
这个事儿我觉得相关部门应该管一管，不能说让他们欺负这些老实人吧。
现在不应该是几分钱一度吧，我家有，应该是几毛钱，比自己用的电便宜，但是没有那么低。我没太关心，据我所知，应该是差不多三四年回本啊，我要再次说明，我不是卖这个的，真不卖，我家有，当初我妈问我的意见我也说别弄最好，但是就弄了，而且现在是已经几个月了，收益我妈的手机能看，没你说的那么邪。不过要是问我的意见，我还是觉得这玩意别碰了比较好，像我家这样的装了的就装了，也没必要害怕，大钱都扔出去了能回多少是多少吧，真说不定一套折腾下来还能赚个仨瓜俩枣的",2021-11-24 20:54:19,1
ACZ-T,0,披着光伏的皮来搞诈骗的，你如果懂，可以自己购买安装，接入国家电网，成本真的低廉，1W，2块钱，然后买逆变器，还有蓄电池,2021-11-24 19:02:38,0
芙兰朵露お斯卡雷特,0,这和腾讯黎明之光一样吧,2021-11-24 17:34:21,2
mappjzc,0,Up主就是骗子吧，骗了钱以后发视频来转移矛盾，再去拜登那边领取经费。up主这操作教父级别呀。,2021-11-24 15:14:54,2
账号已注销,0,谢谢🙏，迟早要发生的事，不然到时候就吃亏了,2021-11-24 11:38:45,2
夏天的风2107,0,举报没商量,2021-11-23 22:20:10,2
纯野生男人,0,"呵。人家公司算的比你清楚多了。成本多少，多少年回本，让利多少，使用寿命多少。你装的回本了也差不多使用寿命到了。
另外，貌似小公司装不能卖电。得电网许可？",2021-11-23 19:55:56,0
纯野生男人,0,薅国家补贴。,2021-11-23 19:50:33,0
火机骑士,0,我信了，我爸反对，过去5年了，我以为我错过[笑哭][笑哭],2021-11-23 18:27:00,1
晴天空蓝,0,诈骗都可以合法化了吗,2021-11-23 17:07:10,2
V天亮说晚安V,0,懂法律的同学来说说这样的到底算不算诈骗？,2021-11-23 14:19:37,2
很多年以后是否会相见,0,那些搞推销的推销员也来配合诈骗。他们的良心不会痛吗？,2021-11-23 12:42:55,2
鲸选派,0,岁数大的人签合同一定要让子女看下，别无脑签。因为人家找的就是不懂合同的老年人。老年人只是听说：安装不收费，设备不要钱，还免费给钱，这样的好事，谁不喜欢。。。往往越是有种贪的心，越容易上当。,2021-11-23 12:30:12,1
你是个什么东西呸,0,众所周知教你赚钱就是想抢走你口袋最后一滴血,2021-11-23 12:22:03,0
我不是大钢蛇,0,拿着刀杀人，错的是持刀人而不是刀,2021-11-23 11:38:08,2
吾有一剑曰德,0,农民啊，从抗战到现在，一直都是吃苦最多，得利最少的[无语],2021-11-23 11:34:30,1
普凌慕,0,欺诈合同,2021-11-23 09:27:46,2
向天再借二十斤,0,我爸也想装来着，我看了另一个是up主的视频之后，我不让我爸装了[微笑],2021-11-23 00:21:52,1
biubiubiu是萌新,0,编故事能手,2021-11-22 19:18:24,2
噬魂fate,0,营销号,2021-11-22 17:40:14,2
0xxiaoyu0,0,靠这个赚钱的越多，电价就越便宜。,2021-11-22 16:17:50,0
恰粗面,0,我自己装的，自己设计的储电系统。即便停电一周，按照我爸妈的用电速度也完全用不完。太阳能板500w在闲鱼上联系厂家买的，EPS电池从厂家进的。EPS控制箱从闲鱼找的闲置，总成本不过3万元。不光平常用电足够，还有剩余。尤其今年冬天煤价大涨。我估计五年内回本是特别轻松的。,2021-11-22 12:37:14,1
指尖飘逸,0,我老家也有这样的   朋友老爸就被坑二十多万,2021-11-22 07:42:54,1
两重光明,0,这个应该按诈骗算,2021-11-21 23:22:44,2
岁月帷幕,0,我们这有整个村子一起安装这种光伏板的，安装确实是免费的，钱也确实是给了，至于说up主说的问题，目前还没听说。就视频内容感觉更像是部分无良公司的诈骗行为,2021-11-21 21:53:12,1
霄二温,0,"这视频说的是正泰的金顶宝,我有关注这事，当时，有位博主叫扮猫骑老虎，原文的作者，当时受害者起草对金顶宝的质疑，赶巧不巧，当时正泰正好突破历史前高，正准备加速，为了不被打断机构的做盘计划，当时利益相关人群，迅速进行施压将那位博主进行封杀和删帖，以让事态热点迅速冷却。确实，很快这么事情就这么过去，毕竟，这两年正值新能源热，光伏什么都是高潮时期，就算有问题，也是潮水褪去以后的事情，媒体也很配合在这种时候噤声。",2021-11-21 21:27:47,2
1459883,0,光伏可能是真的，骗子利用农村信息落后这些因素进行骗人。国家不及时整治，以后光伏进农村估计更难,2021-11-21 21:23:32,0
账号已注销,0,自己装自己用，不影响别人，别非法占地就没事。你要拿去赚钱，肯定要国家许可啊。,2021-11-21 16:38:22,0
青葵秋至,0,我们这6年回本并且附带保险，保证你6年能够回本。不过6年后能用多久就不知道了。,2021-11-21 16:30:28,1
我头像去哪了鸭,0,有人想带你赚钱其实就是想赚你几个钱罢了,2021-11-21 15:22:43,0
月半猫xc,0,我不理解，你的意思是光伏是骗人的吗[疑惑][疑惑],2021-11-21 14:58:48,2
enjoy小铭,0,关键不是赚不赚钱的事，这东西就别贪便宜，回本很慢但这不是骗局OK？？？？别给光伏发电抹黑，你只需要曝光骗子即可！！！,2021-11-21 14:14:32,0
喔槽无情,0,告他诈骗,2021-11-21 13:44:35,2
漫游银河游荡,0,明说吧，光线最好情况下，这个太阳能板也就能满功率发电3-5年，5年后发电板老化就来了，每年的发电量越来越少。,2021-11-21 12:22:17,1
谁敢比我穷,0,坐标河北，我们这边都是以租赁房顶的形式安装的，每年给两千多的租金。你这为黑而黑有点不道义,2021-11-21 09:56:30,0
YouTubeUnknow,0,编得过分了，明显是诈骗！,2021-11-20 18:30:22,2
ARK-创,0,社会不怕好人没好报，只怕坏人没惩罚,2021-11-20 15:53:36,2
小弟有多大又长又大,0,这些公司急了，要真是好事，能找到我们，肯定自己闷身发大财，,2021-11-19 08:40:05,2
Yoyolee_tao,0,有人说没有事实依据，那是没吃过亏，我们村就有推销这个的，还很多人想装,2021-11-17 19:17:48,1
井底小瓦,0,这些人之所以穷，完全是性格使然!被骗交钱的不值得同情。“小丑”怎么说的？“不要挑衅一个一无所有的人”!,2021-11-17 18:39:18,0
井底小瓦,0,赔偿 ?想多了 我就不知道这些人怕什么!我就没钱你咬我啊！,2021-11-17 18:34:35,0
数额呼呼,0,这种视频和诈骗一个性质,2021-11-17 12:26:37,2
千里嘉禾,0,这个视频的up主起码比评论区有些人有点良心,2021-11-17 11:14:58,2
等天落籺,0,就是合法诈骗呗！,2021-11-17 04:15:03,2
龙研京一丶,0,别资本资本了 当初为了光伏行业打垮欧洲多爆了多少产能 后面欧洲制裁+饱和了直接挤压仓库 现在在等新能源的布局 真以为粉碎机没代价呀,2021-11-16 23:05:28,2
春风得意马失前蹄,0,"我不懂光伏，也不了解up说的这些，但我依然坚持把视频看完了——可惜，没有看到有什么实质性的证据，通篇都是up一边讲一边配一些剪切来的镜头。
我想说一句：视频里所说的阿姨大爷们，可以出于保护隐私角度不公开，但是你说的合同呢？你说的一平米20和一个组件20的合同内容在哪？你说的城里小伙看见自己农村父母签下的吃人合同在哪里？法院判决在哪里？能不能给我看点干货？即使我看不懂，网友总有能看懂的吧？说了这么多，证据在哪啊？网友们一个个义愤填膺的发弹幕、评论，给个机会让网友们在公屏上打出个“保护”啊？说来说去，引导网友们去恨谁？这个“谁”该不该被人恨？",2021-11-16 22:21:55,2
笑猫QwQ,0,我家装光伏发电了，是正儿八经的扶贫的，不是那些个骗子公司，一年给四次钱，总共五六百块钱，这个钱勉强够填补家里一年电费的开支,2021-11-16 22:08:36,1
栗子校尉,0,干这种事缺不缺德[辣眼睛],2021-11-16 21:19:14,0
天津汤包王,0,国家背书，这是重点要考,2021-11-16 19:53:04,2
天空是我的丶,0,曾经有意过，大约算了下平均7年才能回本，要是有贷款安装，可能还得加两年。中间要考虑设备损坏，维护。但是好多公司都是几年就跑路，建议国家直接出标准组件，自己还能修修,2021-11-16 19:42:03,0
拓墨星子,0,我家通州农村，我们村有这个，这个都是提前说好价格的，都是村里有钱的才弄，穷的办不起。我家街坊花了10多万，可以满足家里日常用电（就算一年原7000电费），房多点一年能赚1-2000多，下来就算9000元年收益，也得需要10多年回本，我等他成本降到1，2万就好了,2021-11-16 16:56:37,1
妖零零捌陸,0,抹黑国家公信力，up是何居心，举报了,2021-11-16 12:33:05,2
灵动工坊,0,必须提高诈骗犯的惩罚力度，最好刑罚要提到死刑,2021-11-16 09:46:36,2
伊吕波的豆包丶,0,初衷是好的，到底谁是吸血鬼呢,2021-11-16 01:05:02,2
神棍小小陈,0,新能源是未来的趋势[OK],2021-11-16 00:42:02,0
feiyi16716,0,我们村里出现过这种光伏骗局，还好我叮嘱了我爸妈不要被骗，把村里撺掇这个事的人糊弄过去了,2021-11-15 21:11:01,1
朱残人未觉,0,[原神_喝茶]我上学时候放假在家有人来推销，我爸妈都很眼红。然后我说我先去上网查一下再说，然后……就没有然后了,2021-11-15 20:15:11,1
焱焱焱炎炎焱焱焱,0,UP主你这个视频通篇给人感觉，虚  空，没东西，所有的东西都是随口说,2021-11-15 19:47:54,1
bili_93949802828,0,这视频，标题，与那些以光伏名仪行骗都一个思路。恶心啊。光伏本身没问题，是那些公司行骗而已，就如拿一瓶假的酒卖给别人。这视频标题就让人理解为光伏不行。,2021-11-15 19:38:22,2
意念行走,0,好事情让一些人搞坏了，没错就是那些习惯吸血的人，八辈子没见过钱,2021-11-15 19:29:30,2
墨色小丑,0,好多年了，这个东西才被揭露[微笑],2021-11-15 17:11:01,0
裹在时代洪流里前进,0,大规模诈骗的合同也能约束的话，那就是法律漏洞,2021-11-15 17:05:23,2
留住那份真诚,0,这特么真是骗子，我暑假在家就遇到过，简直一模一样,2021-11-15 14:56:22,0
幺顺来了,0,张三请求出战,2021-11-15 14:49:42,1
巫尊二,0,以防养老,2021-11-15 12:35:34,2
炙忠,0,这是在编故事吗？,2021-11-15 12:32:53,2
江小眞,0,说不信的，去年有人领着来给我们家推荐这个项目，要求租用屋顶20年，一年补贴1000多元。父母想装，我说让我们看下合同（因为他们说的太好了让人心里不踏实），当时说没带下次带来，后来趁我不在家又想让我父母签合同，我直接就给他们说不给我看合同不签，最后我一看合同，差不多的套路，还好没有签合同。,2021-11-15 12:14:25,2
垃圾非我莫属,0,那问题来了，这是有效合同吗……,2021-11-15 12:11:24,2
一曲骷髅叹丶,0,中国人不骗中国人[doge],2021-11-15 11:50:03,1
夏提雅与指甲刀,0,请求我方罗翔支援,2021-11-15 09:57:31,1
土豆爱番茄123,0,这种合同能起效力？？？？,2021-11-15 00:42:13,2
魇徒ONE,0,不是每个公司都坑，你这个视频打击面有点广。,2021-11-14 23:38:46,0
南波湾Numberone,0,前两天我家刚经历。推销员说是租我屋顶。一年给我1-2000。但实际是我租公司设备。设备所有权一辈子都是人家的。这就很迷,2021-11-14 22:08:11,1
他们都叫我大九日,0,装屋顶光伏绝对是好事，但是要分辨清是不是靠谱的企业给你做，不论是和谁合作，合同要认真读,2021-11-14 20:41:12,0
神界美少女,0,专骗不识字的老年人[藏狐],2021-11-14 17:50:38,2
恋肉寻莎,0,那个村必须曝光,2021-11-14 17:02:21,0
战术手电,0,贷款合同[笑哭],2021-11-14 16:02:57,1
吹梦到西洲唔,0,我们老家说要装免费装哎。这个有问题吗？说是自己发电自己用。,2021-11-14 14:06:47,1
JustRelease,0,怎么没有当事人出镜呢,2021-11-14 12:27:50,2
篱罗,0,不贷款也是不划算的。几万十几万的全款安装的，每年还是要买电，维修都是自己的，还卖电自己用都不够，十几万够用多少年，都是挑老年人骗，遇上年轻人在家的立马就不说了,2021-11-14 12:28:13,1
蒙娜-熊-绝不再改-丽莎,0,真有好处轮的到你，自己人还分不过来呢。,2021-11-14 09:07:31,2
小黑屋账号,0,这种合同是无效的,2021-11-14 02:42:10,2
M9和牛,0,支持up，这里有好多光伏员工,2021-11-14 01:38:19,0
8848con,0,给不认字的人签合同？那是诈骗，合同不生效的,2021-11-14 00:23:11,2
摩托佬的进击,0,光伏是个好东西，现在的光伏要是工厂发电自用，回本那叫一个快，也就三四年的事，但如果农民自己出钱装，那还是算了，还不如不并网自己搞一套储电设备发电自用回本快,2021-11-14 00:21:15,1
客官-傑,0,抓住那些诈骗犯！,2021-11-13 22:06:11,2
早彦真一,0,行走的50w?,2021-11-13 21:42:07,2
我爱学习papa,0,已诈骗签订的合同无效，如果有几个人直接集体诉讼,2021-11-13 21:19:07,2
晦涩的小说,0,投诉这个up，话乱说,2021-11-13 21:09:18,0
Su小北,0,咋不说光纤呢,2021-11-13 20:47:02,2
制杖少年的梦,0,举报了,2021-11-13 20:10:56,2
30岁准备退休,0,废话太多，直接说终点,2021-11-13 20:02:29,2
natanchaim,0,我爸也是这样讲，问我意见。我直接就不同意，和他分析自己的设备费，成本费，每年的折旧费，而且利润的回收周期，最少得花20年左右才能回本，他就不敢投了。,2021-11-13 17:51:16,0
廿九呃,0,踩了。,2021-11-13 17:01:54,0
胖胖爱哭鬼喜欢肥熊熊,0,天下没有免费的午餐,2021-11-13 16:49:22,1
奇古拉斯佩琪,0,等5大发电公司吧。等他们开始了，再安装。,2021-11-13 13:54:01,0
Alancjh,0,诈骗合同也要执行吗,2021-11-13 13:38:21,0
钱多钱少,0,记得几年前b站就有搞光伏的人说过这东西刚回本就面临设备老化要关换新了,2021-11-13 12:42:40,1
相识相知无怨无悔,0,抖音上就有这种广告，艹！,2021-11-13 12:38:20,0
余水长,0,无效合同，这是欺诈,2021-11-13 11:48:38,2
昵称花式被占,0,这种合同可以生效吗，算不算霸王条款，有没有专业的解释一下,2021-11-13 10:49:57,2
空气争,0,兄弟远见那！[点赞]，一个光伏，能看到这么大的一盘棋，厉害了！,2021-11-13 07:05:00,2
北夜铃姬,0,最基础的逻辑  既然躺着都能赚钱 还不需要成本免费（送/教） 那为什么要告诉你呢?,2021-11-13 06:38:35,1
那就叫我莫霖吧,0,我们村现在在组织装这玩意，全装，我有点害怕,2021-11-13 03:05:14,1
启程程程程,0,这视频的叙事太虚了吧？,2021-11-13 01:01:38,2
山河复吾辈义不容辞,0,"本来光伏是个好事  但是一旦到了下面开始变味  这种不要脸的公司两头吃  赚的盆满钵满   
真的想装光伏自己去装也就7–10w没有中间商赚差价",2021-11-13 00:49:50,0
Over_Gravity,0,建议踩加举报 营销号没脑子全靠编,2021-11-13 00:23:27,2
我无名无,0,给了你答案，还有啥钱可以挣。你们慢慢品,2021-11-12 23:52:25,2
月落_夕沉,0,这就是为什么要拆迁的原因，否则这些人渣估计在村子里被人打死，连尸体都没有。,2021-11-12 22:48:14,1
菜鸟先生与蘑菇刘海,0,直接一梭子带走，一个不亏，两个赚,2021-11-12 22:43:07,1
星界旅行团,0,说话要做调研啊~现在光伏户用epc在2021年11月，价格在4块左右。户用电价0.46来算，光照1000小时，7年零9个月回本,2021-11-12 22:44:13,1
婴量级选手,0,湖南农村可不可以,2021-11-12 22:36:41,0
abc哈喽bili,0,装一套的钱我都可以用几百万度电了,2021-11-12 22:28:08,1
CooBoy21q,0,欺诈胁迫定立合同无效,2021-11-12 21:50:55,2
束荆,0,大骗子先骗，小骗子后骗,2021-11-12 21:36:48,2
五角红心,0,胡扯，“不识字的农民签了合同”，那是无效的。那个法院感判成有效合同？另外，银行贷款什么时候可以代办了？,2021-11-12 20:56:25,2
蓝色老虎钳,0,前几年 我表叔被骗 安装了这个玩意 当时还叫我爸去考察 准备让我爸也搞个 我不放心跟着去了 拿着宣传单一瞧就知道有问题 再三跟老爸说不行 我们四川这边 一年都见不到什么大太阳 发毛的电啊  后来不了了之  我表叔亏了几十万 连重庆的房子都卖了,2021-11-12 20:42:30,1
想吃素的肉食者,0,记住天上不会掉馅饼就能避免大部分诈骗,2021-11-12 19:41:19,1
想吃素的肉食者,0,记住天上不会掉馅饼就能避免大部分诈骗,2021-11-12 19:41:19,1
阿拉丁神坑啊哈哈,0,天眼不能解决吗,2021-11-12 18:36:22,0
背后是菊花,0,幸好四川没得几天太阳[抠鼻],2021-11-12 18:33:22,1
欧克嚜嚜,0,光伏厂一般对接的都是光伏太阳能电站，有规模化的采购，我之前工作的太阳能公司都在疯狂扩展，谁闲的没事光伏下乡啊,2021-11-12 18:18:25,0
圣魔陌卡酷他的大笨熊,0,她说的是光伏骗局呀，不是针对整个产业。让更多人了解骗局，没有毛病呀。为啥要举报，搞不明白，，，，，,2021-11-12 17:44:08,2
四月的万事屋,0,诈骗就诈骗，非得归咎给光伏产业，要点脸。,2021-11-12 17:14:54,2
四月的万事屋,0,确实有国家支持的太阳能补贴项目，就是以极低的价格售卖光伏产品并且免费给你安装，我们那就有，三百块材料费，帮你装好后夏天完全够用，能省不少钱。但根本没有接入电网赚钱一说，那种不要钱还能赚钱的一听就是骗子，不要总想着天上掉馅饼。,2021-11-12 17:06:05,0
做一只要变瘦的肥猫,0,艹昨天家里刚刚给我打电话要弄这个,2021-11-12 16:57:37,1
